Newsby            Kerythen          Regwen            Deftone
Igglbid           Rylohk            Hoddat            Reconago
Kahneda           Mongonator        Vatis             Rokim
Larston           Leineshan         Sonahtina         Kassdorgia
Deynalla          Rovanna           Doflamingo        Chiyanna
Oseon             Ruol              Zobin             Raeyshencarl
Kriasna           Rastacia          Eliseen           Fosorian
Aegnorr           Cuervito          Eleza             Sonvacias
Kolts             Yfirup            Issibella         Stupes
Composer          Musix             Calvert           Digbie
Phounix           Kasparaitis       Florania          Keiyn
