Dalabrac          Lachesai          Bato              Sepherith
Maltreis          Roft              Bellesue          Balynn
Zanarm            Vallulrath        Polveiss          Zaoloo
Donminimi         Wakahashi         Inck              Zalonon
Dantax            Dondododo         Sorcable          Zennerodier
Layndin           Kalaine           Demanec           Eliaj
Coldd             Thornack          Korvance          Shebna
Horsong           Scrumbles         Vesemir           Ushakaron
Sorranie          Sorgrad           Hammibal          Danjirus
Sivath            Mistros           Beyrn             Ayj
Onijha            Sorci             Aramix            Liegn
Rakky             Jonsho            Zegres            Shaelethe
Rykul             Sibylline         Ardque            Darksin
Smokette          Desorceri         Xorus             Uldrik
Marsouk           Mychroft          Siphere           Melivn
Sidorn            Straid            Avaldur           Nysali
Brastius          Eoghain           Entwil            Odowain
Kaeynne           Nubunga           Seldom            Eluveitie
Adavan
