Claudaro          Ussum             Ayleis            Tury
Nystros           Lormein           Darkkstormmer     Swwonn
Realk             Syntharis         Cyndine           Astrenoir
Krizualt          Dreins            Alastir           Idalias
Ragz              Erolur            Kagutsu           Akihiko
Kazoki            Thomli            Morganto          Baljor
Broland           Kledalf           Taoshiro          Racvar
Kazuhiko          Xanadi            Zetara            Merlittle
Roskious          Omind             Metrias           Morgwwyn
Grahkin           Darknick          Balzighast        Netherwinds
Rovvigen          Nzurik            Taoldarn          Brimzstone
Otwin             Sorrenn           Selanne           Mistyfall
Ophoria           Cabal             Esperath          Tares
Cimmorina         Telsir            Kennison          Elahni
Altheren          Nialeil           Uxenaman          Tenebreux
Aanalar           Scabandari        Caberin           Dergli
Jayvn             Fermium           Sabotage          Akken
Arber             Hondur            Mischung          Monit
Siamo             Stirn             Jerthyl           Atherion
Littlespell       Ziled             Lesorrel          Fraedok
Xhixi             Talahan           Felarion          Terfel
Ponclast          Gacy              Orya              Zzazy
Ayumia            Gaedrion          Rikkal            Dweiz
Animit            Vinheim           Nochternus        Ilyumar
Percy             Timothe           Kristtla          Heidolph
Criemsen          Stephenae         Moongoler         Oogway
Bhenidre          Huckster          Chopad            Bhix
Trenus            Fisturath         Bochser           Kusem
Drakolis          Roroturk          Lupulus           Selaesia
Flame             Bifien            Dontal            Ansoul
Aranthius         Carolyta          Vasstryke         Alfain
Faruza            Thunderhart       Milinra           Wrenkin
Hezadjor          Starfrost         Starsiren         Zseth
Aleyi             Frittz            Stanlan           Whirlin
Gacks             Whaggler          Salasin           Shandi
Kyrou             Soulard           Dhainari          Syfah
Bhattacharyah     Mahree            Wilver            Djinn
Gossom            Agec
